player_id,current_rank,hand,dob,height,country_num
100644,2,0,19970420.0,198.0,3
104527,49,0,19850328.0,183.0,27
104755,76,0,19860618.0,183.0,12
104792,30,0,19860901.0,193.0,12
104918,42,0,19870515.0,191.0,13
104925,1,0,19870522.0,188.0,0
104926,69,0,19870524.0,178.0,1
105062,100,0,19871226.0,183.0,16
105077,84,1,19880117.0,188.0,2
105138,45,0,19880414.0,183.0,2
105173,17,1,19880629.0,180.0,12
105453,105,0,19891229.0,178.0,26
105526,24,0,19900425.0,193.0,3
105554,38,0,19900523.0,175.0,13
105583,51,0,19900630.0,183.0,0
105676,50,0,19901207.0,180.0,28
105777,9,0,19910516.0,191.0,11
105870,49,0,19911113.0,193.0,3
105902,63,0,19920121.0,183.0,7
105916,50,0,19920208.0,188.0,23
105948,69,0,19920309.0,180.0,17
106000,81,0,19920520.0,175.0,33
106005,84,0,19920523.0,180.0,12
106043,107,0,19920816.0,170.0,17
106075,102,0,19921104.0,183.0,35
106121,58,0,19930127.0,191.0,26
106148,51,0,19930323.0,183.0,2
106186,102,0,19930519.0,178.0,7
106198,105,0,19930616.0,180.0,36
106218,37,0,19930724.0,180.0,5
106233,89,0,19930903.0,185.0,24
106234,35,0,19930904.0,185.0,4
106281,97,1,19940104.0,183.0,13
106296,81,0,19940216.0,183.0,12
106298,96,0,19940223.0,185.0,12
106310,99,0,19940324.0,193.0,27
106329,74,1,19940531.0,183.0,29
106331,58,0,19940603.0,183.0,7
106398,70,0,19950412.0,185.0,17
106415,47,1,19950927.0,170.0,26
106421,3,0,19960211.0,198.0,4
106423,65,0,19960410.0,193.0,7
106426,82,0,19960530.0,185.0,14
106432,31,0,19961114.0,188.0,22
109739,85,1,19950615.0,188.0,3
111153,32,0,19960505.0,201.0,5
111190,31,0,19961016.0,193.0,21
111442,26,0,19940420.0,183.0,7
111456,41,0,19950416.0,178.0,5
111460,72,0,19961026.0,191.0,12
111513,33,0,19950602.0,188.0,0
111575,15,0,19960521.0,198.0,4
111576,68,0,19970816.0,178.0,30
111581,104,0,19980110.0,188.0,5
111797,16,0,19951011.0,201.0,14
111815,18,1,19950823.0,188.0,13
122298,50,0,19951004.0,191.0,18
122330,17,0,19970617.0,196.0,16
122669,80,0,19951006.0,185.0,32
123755,78,0,19960618.0,191.0,31
124079,39,0,19970426.0,185.0,2
124116,37,0,19960512.0,191.0,24
124186,67,0,19970201.0,183.0,12
126094,5,0,19971020.0,188.0,4
126127,73,0,19960609.0,183.0,12
126128,36,0,19970807.0,185.0,4
126129,101,0,19950125.0,193.0,13
126203,4,0,19971028.0,196.0,5
126205,12,0,19970517.0,185.0,5
126207,14,0,19980120.0,188.0,5
126214,19,1,19970602.0,188.0,14
126239,56,0,19950723.0,196.0,12
126523,77,0,19970112.0,183.0,2
126610,34,0,19960412.0,196.0,1
126774,6,0,19980812.0,193.0,9
126845,41,0,19980403.0,185.0,7
126846,60,0,19960406.0,188.0,7
127157,50,0,19980912.0,188.0,3
127339,72,0,19980227.0,196.0,22
128034,6,0,19970211.0,196.0,8
132283,46,0,19950511.0,191.0,1
132686,30,0,19970219.0,185.0,20
133297,99,0,19980412.0,180.0,26
133430,56,1,19990415.0,185.0,15
134770,6,0,19981222.0,183.0,6
134868,23,0,19960702.0,188.0,18
136440,49,1,19940429.0,180.0,3
144642,93,0,19971210.0,191.0,14
144719,59,0,19970505.0,183.0,2
144750,91,0,19970224.0,193.0,34
144869,27,0,19990718.0,196.0,17
144895,55,1,19990419.0,180.0,12
200000,17,0,20000808.0,193.0,15
200005,13,1,19980626.0,188.0,12
200116,91,0,19990617.0,185.0,17
200175,40,0,19990831.0,183.0,0
200221,23,0,19990605.0,183.0,2
200267,61,0,19990603.0,185.0,28
200282,6,0,19990217.0,183.0,7
200303,50,0,19981118.0,191.0,4
200325,43,0,19990402.0,188.0,25
200384,60,1,20000926.0,173.0,12
200436,106,0,19991013.0,180.0,23
200443,86,0,19990417.0,183.0,7
200514,87,1,19990516.0,191.0,24
200615,23,0,19990805.0,196.0,7
200624,15,0,20000705.0,196.0,5
200670,53,0,19981221.0,183.0,5
202058,90,0,20010410.0,185.0,17
202103,20,0,19980813.0,185.0,17
202104,18,0,20001228.0,170.0,17
202261,91,0,20010621.0,193.0,25
205734,58,0,20000310.0,185.0,29
206173,1,0,20010816.0,191.0,1
206499,72,0,19980829.0,183.0,5
206681,36,0,19991008.0,193.0,23
206909,35,0,20010803.0,188.0,5
207213,105,0,20010205.0,188.0,22
207352,65,0,20020119.0,185.0,21
207411,103,0,20000531.0,180.0,18
207518,16,0,20020303.0,185.0,1
207680,47,1,20001215.0,183.0,17
207681,84,0,20001006.0,178.0,17
207686,45,0,20001129.0,185.0,16
207733,15,1,20011222.0,193.0,13
207830,25,0,20001013.0,183.0,19
207925,30,0,20020506.0,183.0,1
207985,89,0,20010715.0,183.0,13
207989,2,0,20030505.0,183.0,2
208004,103,0,20020204.0,180.0,12
208014,62,0,20010223.0,178.0,7
208029,7,0,20030429.0,188.0,10
208103,23,0,20011108.0,185.0,19
208134,70,0,20030806.0,185.0,1
208233,100,1,20010601.0,175.0,1
208260,102,0,20021129.0,175.0,5
208286,29,0,20010222.0,185.0,1
208363,29,0,20010227.0,178.0,17
208502,88,1,20020816.0,183.0,27
208659,30,0,20030708.0,203.0,12
209070,63,0,20020823.0,183.0,12
209098,105,0,20030718.0,188.0,0
209113,86,0,20010924.0,203.0,15
209260,32,0,20020214.0,183.0,1
209414,68,0,20040511.0,178.0,12
209950,20,0,20040612.0,185.0,12
209992,47,1,20050202.0,180.0,21
210097,13,1,20021009.0,193.0,5
210150,48,0,20050901.0,193.0,19
210506,41,0,20040825.0,193.0,5
