ranking_date,current_rank,player,current_points,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
20240205,78,123755,716,123755,Daniel Elahi,Galan,R,19960618.0,COL,191.0,Q20740881
20240108,80,122669,709,122669,Juan Pablo,Varillas,R,19951006.0,PER,185.0,Q23039577
20240108,81,106296,708,106296,Gregoire,Barrere,R,19940216.0,FRA,183.0,Q24228674
20240819,81,106000,689,106000,Damir,Dzumhur,R,19920520.0,BIH,175.0,Q1158544
20240101,82,106426,709,106426,Cristian,Garin,R,19960530.0,CHI,185.0,Q4252035
20240205,84,105077,688,105077,Albert,Ramos,L,19880117.0,ESP,188.0,Q459158
20241125,84,207681,661,207681,Francisco,Comesana,R,20001006.0,ARG,178.0,
20240108,84,106005,699,106005,Constant,Lestienne,R,19920523.0,FRA,180.0,Q16300830
20240701,85,109739,692,109739,Maximilian,Marterer,L,19950615.0,GER,188.0,Q17364412
20241125,86,209113,643,209113,Gabriel,Diallo,R,20010924.0,CAN,203.0,
20240805,86,200443,671,200443,Adam,Walton,R,19990417.0,AUS,183.0,
20240219,87,200514,664,200514,Jurij,Rodionov,L,19990516.0,AUT,191.0,Q30148749
20240115,88,208502,673,208502,Dominic,Stricker,L,20020816.0,SUI,183.0,
20241111,89,207985,638,207985,Jacob,Fearnley,R,20010715.0,GBR,183.0,
20240219,89,106233,655,106233,Dominic,Thiem,R,19930903.0,AUT,185.0,Q88762
20240415,90,202058,661,202058,Thiago Agustin,Tirante,R,20010410.0,ARG,185.0,Q64747475
20241118,91,202261,634,202261,Otto,Virtanen,R,20010621.0,FIN,193.0,Q55641350
20240916,91,200116,611,200116,Camilo,Ugo Carabelli,R,19990617.0,ARG,185.0,Q106207380
20240624,91,144750,643,144750,Lloyd,Harris,R,19970224.0,RSA,193.0,Q23039257
20240115,93,144642,630,144642,Tomas,Barrios Vera,R,19971210.0,CHI,191.0,Q28674037
20241021,96,106298,616,106298,Lucas,Pouille,R,19940223.0,FRA,185.0,Q13403768
20240129,97,106281,621,106281,Liam,Broady,L,19940104.0,GBR,183.0,Q2965183
20240930,99,106310,579,106310,Alexander,Ritschard,R,19940324.0,SUI,193.0,Q15782265
20240101,99,133297,646,133297,Yosuke,Watanuki,R,19980412.0,JPN,180.0,Q23771664
20240923,100,105062,561,105062,Mikhail,Kukushkin,R,19871226.0,KAZ,183.0,Q459166
20241118,100,208233,605,208233,Mattia,Bellucci,L,20010601.0,ITA,175.0,
20240909,101,126129,552,126129,Billy,Harris,R,19950125.0,GBR,193.0,
20240101,102,106186,631,106186,Jason,Kubler,R,19930519.0,AUS,178.0,Q6162896
