player_id,final_embedding
100644,"[ 1.692718   -1.9616054  -1.0609196   0.8509913   0.10605174  2.3743966
  0.59561735  2.3300118  -1.034195   -0.02519723  0.46180832  2.5575755
  2.9273386  -0.60871464 -0.37443626  0.6400978   1.5397308  -1.6937336
 -1.5904952   0.48075137  0.00639666 -1.453071    0.83771276 -0.23642617
 -0.22470123  0.42658284 -1.1405778  -0.7092747   1.5061334  -0.5642964
 -1.1863265  -1.5965974  -3.675929    1.3667392   0.56656766 -0.65269154
 -0.8691571  -0.46641362 -2.5747721   0.9891915  -2.3755412  -2.020666
 -3.3047948  -0.3791484   0.16241245  2.0337443   2.2672596   0.5354466
  2.6045356  -0.80311954 -2.8629832  -3.125763   -0.03425393 -1.7011456
  3.7084346  -0.26270747 -4.289929    1.1672046  -2.15671    -1.2474725
  0.4338786   1.9169021   1.8521683  -1.0497438   1.5275775  -2.496838
 -4.555095   -0.6543259   2.627969    0.23316786  0.5245062  -0.37860036
  2.3581064  -3.297762    0.98295796  0.26021025 -2.4158332  -2.2818177
 -2.5550883   0.7030618   2.952159   -1.630477   -0.33831337  1.683614
 -3.4659152   0.04472161  1.3500559   0.81186885 -6.2007933   1.4365501
 -1.4498626   0.8724694   0.63527095 -2.7971654  -3.289639    0.53307265
  2.795029    1.0210589   4.3394856  -0.7334183  -1.6810054   4.9743867
 -0.59310275  0.0934894   0.6285686  -1.7645997   0.75540155  1.9385277
  2.497134    1.4110736  -2.1844897   0.24726798  1.9168645  -3.171847
  0.77472574  0.46546897 -2.5298617  -0.4663888   0.71770495  0.6096415
  0.32878235  0.1819835   0.11622359 -0.6699715   1.43176    -1.0570872
  0.12093624  1.5919769 ]"
104527,"[ 5.2283496e-01 -3.8754651e-01  1.3803802e+00  1.0939482e+00
 -1.3213645e+00  3.1716075e+00  8.1206757e-01 -6.9668788e-01
  8.4052902e-01  1.8541640e+00 -1.0778227e+00 -7.5530070e-01
 -1.8263316e-01  1.6115808e+00  1.0543835e+00  4.1562617e-01
  1.3154809e+00  5.0428301e-01 -1.8256602e+00 -8.5321063e-01
  1.6864755e+00 -4.0089760e-02 -1.6471213e+00 -8.6655730e-01
  7.3382086e-01  7.4552846e-01 -1.8573494e-01  5.3530937e-01
 -1.0040067e+00 -3.1274176e-01  8.2477652e-02 -9.3369561e-01
 -1.7595712e+00  5.4146844e-01  1.2624582e+00  1.3435669e+00
  2.0242274e+00 -1.1661775e+00 -7.6497996e-01  9.1231614e-02
  2.6386419e-02 -1.2937974e+00 -2.2397842e+00  2.4651793e-01
  1.1295693e+00 -1.3300245e+00 -1.4452191e-01  1.0534614e+00
 -8.2610965e-02 -3.7906662e-01 -8.9600956e-01 -2.4400151e-01
  1.4242694e+00 -2.5595002e+00  1.5151378e+00  1.0347605e+00
 -1.2846639e+00  1.6850434e-01 -9.0167004e-01  5.0529820e-01
  1.6229345e+00  2.5738403e-01  2.1582329e+00  5.8326620e-01
  3.8470900e-01 -8.8791722e-01 -1.2447423e+00  7.9895908e-01
 -1.6876130e+00 -1.9033580e+00 -5.1859617e-02 -1.5358092e+00
  1.7638258e+00 -1.5465484e+00  1.1266224e+00  1.5233244e+00
 -1.4831021e+00 -2.3718994e+00 -1.6012311e+00 -8.5117333e-03
  3.9345999e+00  1.1808380e+00 -1.1236436e+00  1.7642884e+00
 -1.1096599e+00 -3.4619546e-01  2.7069065e-01 -6.6523534e-01
 -4.5952477e+00 -4.1419694e-01 -1.4362044e+00  1.8048720e+00
 -1.1785558e+00 -2.6389170e+00  6.1773551e-01  1.3223321e+00
  1.5266621e+00 -7.1754897e-01  9.5814371e-01 -8.9772299e-02
  4.2778111e-01  2.9161649e+00  5.5694193e-01 -8.5863429e-01
 -8.7871432e-01 -9.4153053e-01  3.9277736e-02 -9.8292202e-01
  3.1743076e-01  9.0464348e-01 -2.6382673e-01 -3.1207027e+00
  4.5656800e-01 -1.5105658e+00 -4.8603520e-01  8.7842143e-01
 -3.2167590e+00 -2.0123317e+00 -8.7420183e-01  2.3742097e-03
  7.9208261e-01 -3.5552754e+00 -2.2627559e+00  3.5608680e+00
  1.0624013e+00 -2.1940498e+00 -1.6628891e-01  2.0164506e+00]"
104755,"[ 2.5150735   0.47809967  0.01735405 -0.5032376  -0.7077077   2.1651347
  0.43295014 -1.8994702   0.38613153  0.89191717 -0.91569334 -0.11681571
 -0.7941786   2.4243157   0.41350043  0.87029207  3.194077    1.4156553
 -1.6718528  -1.0456977   1.2286596   1.2577417  -0.5102677  -0.63889587
 -0.7508364  -0.18710786  0.1402208   1.3796856   0.04786462  1.6803877
 -0.04211061 -1.3284669  -1.147666    0.41930705  0.26646543  0.76920146
  2.8424633  -0.42030212 -2.2851     -0.37903833  1.9055982   0.18184981
 -2.526419   -2.09573    -0.69222903 -0.60025144 -0.55439794 -0.1979607
  1.9751468   2.3995373  -1.0015883   0.2213188   1.8156003  -2.5921032
  1.7047659   0.4042045  -0.724252   -0.31303117  2.8009343   0.49685946
  0.85678333 -1.377656    2.5318043   1.7536708   1.3214914   2.1144917
  0.3621338   0.39796838 -1.8695111  -1.9476218  -0.05932957 -1.6529696
 -0.4862682  -2.0706556  -2.3734672   1.9235125  -1.8835305  -1.9476373
 -1.1732442  -0.97047275  1.9428388   0.5563648  -1.218211    1.2382787
 -2.113827    0.46949947 -1.2697942  -0.25883102 -1.3678608  -0.4361733
 -2.6667478   1.7244871  -2.0063457  -2.0669174   0.44528428  2.6214967
  3.2021537  -0.25841683  1.5046391  -1.1986896   0.42139113  2.070974
  0.5042085  -1.578907   -1.9829216  -1.3057078   1.0946866  -2.4357374
  0.2981935   0.7197874   0.37589678 -4.0076594   0.35965154 -1.3943733
 -0.49125555  1.1478074  -2.146622   -2.97185    -2.5778341  -0.30473003
 -0.8776069  -2.3418777  -0.6194578  -0.3467999   1.132107   -3.0747113
  0.16445754  1.2451881 ]"
104792,"[-0.39532512  0.813076    1.0359547   1.0457581  -0.3002756  -0.01040684
 -0.63878393  0.47820044  0.40050656 -0.44528607  2.7563071  -2.3956125
 -0.78361666 -0.91131693  0.203241   -1.5935068  -0.17862569 -0.3190265
 -0.00850999 -1.2399703  -1.0035876   0.1913076   2.7862098   1.2191191
 -0.790712    1.0892761   0.07221995 -0.04332026 -0.75157654  2.0198467
 -2.241877   -1.3208703  -1.4674568   0.32325813 -1.4549719   1.7225468
  0.8358624  -0.21330076  0.40406388  0.33137938  1.4403763  -0.09733158
 -1.1271966  -0.46838066 -1.2273202   0.2549023   0.52052855  1.3398489
 -1.6812426   0.8148379  -1.0437411   0.95661044  0.33315223 -0.57887274
  0.5051525   1.1767296  -1.5599848  -1.4227978  -0.35700786 -0.23752332
  0.7255725   0.8105098   1.0862844   0.5926023  -0.16926134  1.4176707
  1.0475513   0.3027998   1.3843923   1.7479901   0.5478151   0.4144499
 -0.08344505  0.40661305  0.19025041 -0.8970169  -2.0158155   0.72004884
  1.2424482   1.3552296   0.69775987  0.336077    1.3688967  -1.2707651
 -0.5915437   1.5188227  -0.2574872  -0.55306697 -0.46444854 -0.49349752
  0.10870687  0.8795795  -0.7825574   0.1165748   0.20431486  1.6303959
  1.137486   -0.82991403 -0.22355881 -1.0548968  -0.5354124  -0.2429987
  1.7678753  -0.7751982   0.49101698  2.0272212  -1.7179272  -0.5016618
  1.6180321   0.23949903  0.22053887  0.30283386 -0.9880144  -0.616949
 -1.0926532   0.07251801 -0.8736693   0.22417237 -1.018672    0.23701444
 -0.43446597 -0.5627927   0.27138594  1.1831578   0.2581766   0.532872
 -3.3368237   1.0735111 ]"
104918,"[-0.05263107  0.05430613 -0.7277184  -1.2340606  -2.6447794   0.46400133
  1.115869   -1.7389746  -0.84662384 -0.8929949   0.4777382   0.27677158
  0.7945622   2.3493292   0.20267725 -0.5951426   5.496691    2.1167758
 -0.09744237 -0.56108975 -0.10576469  0.47897503 -4.696076   -0.6561861
  0.41855985  2.1660058   2.2846978   1.1657021  -0.23293145 -0.39779222
  1.4555973  -1.5878608  -0.8328743   0.09656018  0.71336037  1.7679517
  2.3925834   0.46191198  0.28340214 -1.4631485  -1.383296   -0.48484895
 -1.0728142  -1.2348889  -2.540771   -1.4696602  -0.55349624  3.9656203
  0.5096324   0.5170159  -2.240704    0.29378137 -0.54246205 -0.44149327
 -0.0788991  -0.49467868 -1.1306956   0.7369853   1.0204734   1.8502167
 -0.2146872   0.48074508 -0.5287058   1.5037744   0.6188126  -0.7737042
  1.9291145   0.50611305 -3.5460129  -1.443299   -0.95316136  0.44419387
  0.13256806 -1.0876428   0.67937887  2.26779    -1.7787306   1.495586
 -0.65557706 -0.10482004  1.7974576   0.22549038 -0.44673282  1.2090347
 -0.77348244  1.0106374  -0.99578285  0.27594134 -0.99158853  0.13184676
 -1.309706    0.98883635 -1.5661094   0.23611519  0.46357095  2.2459624
  0.46176824 -0.30579895  1.5549304  -0.24102387  0.08099067  0.6434277
 -0.7266677  -0.5363171   1.132338    0.3974065   1.6082752   0.14984436
 -0.09377325  2.8056018  -1.0578187  -3.3618798  -0.48139915  2.1374595
  0.06546856  0.30585456  0.09416936  0.7255873  -1.0847417  -2.3641534
 -1.2051039  -1.4137877  -1.6881622   0.13755533 -0.18705203 -1.4214865
 -1.0354095  -0.04478438]"
104925,"[-1.6521918  -0.9156448   1.6901599   1.2104772  -2.2157116  -1.2507812
 -0.32588238  0.02296231 -0.8797845   0.37587973 -0.8287597  -3.5426588
  2.3286164   0.41236863 -2.126589   -0.8043655   0.15908317 -1.0697515
 -3.58514     1.2201625  -0.76702154  1.6103591  -0.6082968   4.46757
  0.8977466   1.071512    0.18291263  0.74167174 -1.7060268  -0.1924301
 -0.955886   -2.9827251  -1.2924073   2.8989735   2.0363932   6.643741
  2.2847295  -4.430494   -0.87444705  2.4993227   1.765716   -1.3362626
 -4.469034    0.92864543  0.62555015  0.5930672   2.2019517   0.4560816
  1.1470788  -2.88722    -0.5601688   2.2220316  -0.4274003  -0.18003649
  0.6001283   0.02428088 -4.700378   -1.3106968  -2.4602754   0.22117348
  2.1303494   3.686109    2.1708057  -0.94117504 -2.9244719   0.4054309
 -3.066307    2.054224    1.4810008  -1.256179   -0.43470967 -2.2439864
  1.2995642  -0.14293733  0.09466386 -3.5738206  -2.2365463   1.3196431
  0.59608626  2.7859318   3.1859844   1.5782315   2.3855805   1.0751034
  0.24156944  1.0798838   1.9203904   1.6039937  -5.7645864  -2.2116463
  0.8857031   3.9507847  -4.984489   -1.8543997  -0.9435654  -0.6780837
  4.1132793  -0.06626376  3.704339    1.0148664  -1.3063854   1.8080357
  2.301956   -0.28622788  2.89178     0.67426485 -2.6524048  -0.06875229
  2.8595405   1.3610039  -1.3598809  -0.96278644 -0.6311883   2.4077468
 -1.3493537   1.1100363  -3.1428592   1.1627719   0.44608292 -0.22305237
 -0.5271601  -1.6496291   0.12365375  0.01743275  2.6740801   3.1932323
 -5.7355914  -0.8270092 ]"
104926,"[ 0.21810363 -2.0922499  -2.287007    2.0846024   0.05939374 -0.38989475
  0.08382478  2.4273143   0.41260767 -1.1079724  -0.20434798 -0.4462536
  0.5180247   0.45337075  1.951141   -0.39313793  1.8327371  -0.1266598
  0.13305317  1.9438214   1.9195105   0.28751206  2.7220037   0.833049
  0.25182322 -0.02515156  0.52329206 -1.3208332   1.1965531   1.7524172
 -3.9502997   0.03437288 -1.3602653  -0.09644588 -0.92049587  1.5990158
  0.52554035 -0.8331177  -0.96062195  1.2386382  -2.8123472  -0.68278736
 -1.8132718  -2.522698   -1.8088316   0.26728785  0.35194668 -0.90056336
 -0.06390497  4.6131845  -3.6701078   1.9912975   1.9637654  -2.2982771
  0.06127603 -2.267898   -0.9200305   0.67513305  1.2511955   0.66126406
  0.3631006   1.5047476   1.3664612   0.5515526  -0.46202913  1.7453504
 -0.10927688  1.0931636   0.15199892  2.2282004   0.63240033  0.70893556
  0.85668474 -1.9784888   0.06078022  1.4783713  -0.65117854  0.16132218
 -2.1546001   0.05437929 -1.6286199   1.7048416  -1.305971    0.4173939
 -1.5885941   1.0896987  -0.85563004 -0.90200186  0.9623146  -0.2133006
  0.67614996  0.60530734 -0.76052535 -1.0322071  -0.3628082   1.7122918
  2.3719695   0.8969862   0.77872765 -2.4267645  -0.5541688  -0.8021944
  2.2523398  -1.0772412  -3.0500283  -0.4735176  -0.44421992 -1.5118351
 -1.1191655   0.594166   -1.870229    0.41480133 -0.31645858  0.14403448
 -0.1534225   0.3400029  -1.1636573  -0.93513805 -0.49356607  0.8826172
 -0.9673981  -1.0724298   0.05527564 -0.09975978  1.6010808  -0.07911244
 -0.38276064  0.3149954 ]"
105062,"[-1.6562527  -0.8111175   0.9027664   0.08302839  0.41106123  0.7209337
 -2.0054085   2.020646    0.349401    1.2047344   3.8375373  -0.38973153
  1.8002208   1.5996177   0.04315164 -0.50353974  4.259582   -0.25156182
  0.6738997   1.7279279  -1.2840201  -3.2977817   1.5578128  -0.3969977
 -0.8835939   1.0167438   1.4142869   0.26200566  1.5457965   5.050814
 -0.22305693  2.4257748  -3.0256052   1.1592962  -3.4603307  -1.4167169
  1.3376253  -0.5722226  -2.0567508  -0.53650707 -4.7298074  -1.9269562
 -0.55248576  1.9220853  -0.338951    2.185627   -1.0905237  -1.3161154
 -0.58761847  2.7701635  -2.8735611  -0.8315212  -1.10588     0.36159828
  0.98986375  2.0147495  -3.6449482   0.5626884  -1.0132244   0.423715
 -2.5657086   1.0610358   3.5947926   3.267781    2.3567586   0.14542128
  0.8259278   2.3504722  -2.2419336  -0.64798284  0.8762119  -0.96466845
  2.2569008  -2.2444565   0.73039746  1.4704144  -2.0580254   1.4876595
 -1.7439364   0.29249737  0.8652198   1.4197875   1.1279117  -0.28025958
 -1.1633196   3.1646233   0.04896835  0.50818825 -1.2040241   0.63467366
  1.9771918   3.525997   -1.0529535   0.40971735  0.25684166  1.1706346
 -0.7441683   1.2557504   0.5639526  -3.8213155  -0.5531695   1.1961439
  1.9441686   0.9224088   0.1021137   1.39984     0.48721397 -0.4312546
  0.48435628  2.2364993  -2.3974745   1.4967798   1.935416   -1.7939721
  1.1609743  -2.720112    0.72751236  0.78444135 -2.6921906  -1.741606
 -0.44467345 -1.3328174  -0.16512004  1.2039703  -0.75430006  1.8321662
 -4.009931   -1.0812408 ]"
105077,"[ 8.66094112e-01 -1.23258710e+00 -1.50608644e-01  2.51828122e+00
 -4.94335502e-01 -7.88349032e-01 -7.48427868e-01  2.06677842e+00
  1.01834856e-01  4.75715846e-01 -5.53631842e-01 -1.31743535e-01
 -1.72206926e+00  2.02816463e+00  8.28498244e-01 -1.18539655e+00
  2.77125573e+00  1.76467276e+00 -8.92253041e-01  5.06348729e-01
  2.37507105e+00 -1.58345246e+00 -1.17239237e+00 -4.01549995e-01
  8.71446490e-01  1.53675199e+00  1.89424157e+00  3.26613218e-01
  2.83028054e+00  1.06861877e+00 -2.17134857e+00 -3.21563745e+00
  3.60351205e-01  1.41134155e+00  5.14783859e-01  3.42457145e-01
  1.38691974e+00 -6.79235518e-01  1.76355195e+00  1.74922645e+00
 -2.43614912e+00  5.81723452e-01 -1.79409385e+00 -3.28394794e+00
 -1.25331417e-01  3.52237612e-01  1.35582066e+00  7.34957457e-02
 -2.24416614e-01  1.21720409e+00 -3.57081532e+00  1.17899263e+00
  1.84881032e-01 -1.68327093e+00 -2.99942166e-01 -4.80358243e-01
 -1.15491998e+00 -4.23417598e-01  2.43623519e+00  6.18834853e-01
 -5.93108475e-01  1.21202461e-01  1.31679869e+00  1.60523939e+00
 -1.16964257e+00  5.42120785e-02 -6.38725087e-02  7.57934570e-01
 -8.94436359e-01 -3.38503033e-01  1.17930961e+00  1.90205896e+00
  6.97791338e-01  1.15679398e-01  8.98128510e-01  4.48170930e-01
 -1.77702352e-01  5.08979380e-01 -6.04527354e-01  4.74415347e-02
  1.73420116e-01  1.13210835e-01  4.43414822e-02  1.07450223e+00
 -5.81811607e-01  6.44555734e-03  1.69131207e+00  2.09537715e-01
 -2.13738307e-01  3.42829913e-01 -1.80102539e+00 -5.60776830e-01
 -9.85402822e-01  1.73793244e+00  6.80671215e-01  1.10216343e+00
  7.82301903e-01 -7.46748447e-02  6.63779199e-01 -2.66665292e+00
 -3.62401940e-02 -8.77944648e-01  2.21325850e+00 -1.85327244e+00
 -2.15559095e-01  2.68838584e-01 -5.34784675e-01 -1.27459753e+00
 -1.96908593e+00  1.20994687e+00 -2.75058198e+00 -6.57700777e-01
 -2.07509327e+00 -1.66273212e+00 -1.99903280e-01  3.00773412e-01
 -1.02498639e+00 -2.94378340e-01 -1.44947898e+00 -7.54729271e-01
 -2.85765433e+00  8.51742644e-03 -1.44421506e+00 -5.07524062e-04
  3.22897345e-01 -1.06332975e-03 -5.77481091e-01 -7.36038089e-01]"
105138,"[ 0.13709247 -1.0538093  -0.5247809   2.2864974  -0.9236988   1.1963366
 -2.484344    1.6037331   0.28724742 -1.7205374   0.74152833 -1.9050292
  0.80793464 -0.08027735 -0.67076004  0.12457451  0.294212    1.681427
 -1.819079   -2.0530367   0.86082613 -1.4867675   0.8721443  -0.3498761
 -0.0166797   1.4127263  -0.07663295  0.76919824  0.52505434  1.3614324
  0.3022776  -0.76309323 -1.9771968   0.2781068   0.2883534   1.0981667
  0.7132393  -0.8852242  -1.5293802   1.1062248  -0.7088179   0.37323767
 -4.24344    -0.2446876   1.3109542  -1.8743311   1.2900163  -2.2569675
 -0.64530164  1.705854   -2.050788    2.4996145  -1.9020323  -2.4061112
  1.0951661  -2.6736224  -1.3506346  -2.16424    -0.28046483 -0.9685824
  0.46225044 -1.2353966   2.1084278   1.2442718  -0.7464339   2.51961
  1.0203398   1.162487    0.85310084 -0.35013536  0.536504   -0.60168695
  1.4278035  -0.50573087 -1.5311522   0.19265151 -1.1540222   0.41410425
  0.30500856  2.6600413   1.0444448   0.3343552   1.5731455  -0.46024856
 -3.56117     1.644764    1.1850241   0.3314612   0.03510975 -1.1536614
  1.8845533   2.1424897  -2.2308772  -1.7825378  -0.0427672   0.16804436
 -0.0926216   2.1986117   1.0310564  -2.9777865  -1.4103941   0.2614647
  3.8427877  -0.22075282  0.06593273  0.79802    -2.0242786  -2.9296317
 -0.47177714 -0.14452572 -1.063488    3.0379915   0.05581609 -1.2542425
 -1.1373142   1.1732945  -1.2237254   0.06589469  0.04801327  1.6952378
 -0.5788662  -0.50613767  1.641743   -0.09428801 -0.14903904  1.9679317
 -3.4109771  -0.02961401]"
